sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
2009-EB-531,tcap047,SEpre-tcap047,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-532,tcap048,SEpre-tcap048,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-533,tcap049,SEpre-tcap049,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-527,tcap199,SEpre-tcap199,3,MYSE,NH,Cheshire,VHOF,pre,N,8/28/2008,NA,A,NA,M,Gary Pelton,NA,SE,NH-Cheshire,8,8
2009-EB-534,tcap120,SEpre-tcap120,3,MYSE,NH,Cheshire,VHOF,pre,N,8/29/2008,NA,A,NA,F,Gary Pelton,NA,SE,NH-Cheshire,8,8
WNS08021,tcap009,LUpre-tcap009,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC318,F,Boston University,NA,LU,MA-Chester,2,2
WNS08022,tcap010,LUpre-tcap010,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC319,F,Boston University,NA,LU,MA-Chester,2,2
WNS08028,tcap011,LUpre-tcap011,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC325,F,Boston University,NA,LU,MA-Chester,2,2
WNS08030,tcap012,LUpre-tcap012,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC327,F,Boston University,NA,LU,MA-Chester,2,2
WNS08031,tcap013,LUpre-tcap013,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC328,F,Boston University,NA,LU,MA-Chester,2,2
WNS08032,tcap014,LUpre-tcap014,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC329,F,Boston University,NA,LU,MA-Chester,2,2
WNS08033,tcap015,LUpre-tcap015,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC330,F,Boston University,NA,LU,MA-Chester,2,2
WNS08034,tcap016,LUpre-tcap016,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC331,F,Boston University,NA,LU,MA-Chester,2,2
WNS08035,tcap017,LUpre-tcap017,3,MYLU,MA,Chester,BU,pre,N,11/20/08,NA,A,BC332,F,Boston University,NA,LU,MA-Chester,2,2
WNS08048,tcap005,LUpre-tcap005,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC879,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08039,tcap018,LUpre-tcap018,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC870,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08040,tcap019,LUpre-tcap019,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC871,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08041,tcap020,LUpre-tcap020,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC872,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08042,tcap021,LUpre-tcap021,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC873,F,Boston University,NA,LU,NY-WilliamsMine,17,17
